timeofday,xjo,kospi,nikkei
15:22:00,-0.07089493,0.50861134,-0.32125261
15:23:00,-0.06749966,0.50012030,-0.30669890
15:24:00,-0.07898434,0.47928110,-0.30260135
15:25:00,-0.07534502,0.49599811,-0.30208935
15:26:00,-0.07948459,0.41114047,-0.30201234
15:27:00,-0.11660970,0.35234418,-0.24192042
15:28:00,-0.11952190,0.32677168,-0.23321047
15:29:00,-0.11671744,0.29366217,-0.25703703
15:30:00,-0.11516043,0.31580146,-0.24622921
15:31:00,-0.14088244,0.37451129,-0.22428224
15:32:00,-0.14702341,0.37530901,-0.22144047
15:33:00,-0.16378574,0.36723622,-0.25040494
15:34:00,-0.14440752,0.39246522,-0.24787496
15:35:00,-0.17710055,0.41403683,-0.21542257
15:36:00,-0.14920480,0.40865138,-0.14746377
15:37:00,-0.12473582,0.44674120,-0.14067718
15:38:00,-0.13038508,0.45215042,-0.14871082
15:39:00,-0.14374274,0.42522849,-0.15084310
15:40:00,-0.13108331,0.43241771,-0.17316287
15:41:00,-0.13121765,0.44380457,-0.16674080
15:42:00,-0.15551993,0.45536442,-0.22182804
15:43:00,-0.14593171,0.45308433,-0.22939099
15:44:00,-0.13718682,0.55846106,-0.21977721
15:45:00,-0.13942798,0.56643031,-0.20035112
15:46:00,-0.16761803,0.58503980,-0.22058055
15:47:00,-0.15294297,0.59263312,-0.21707218
15:48:00,-0.13103241,0.58814049,-0.24072927
15:49:00,-0.12288673,0.57712476,-0.24291162
15:50:00,-0.10048605,0.54290997,-0.23598222
15:51:00,-0.10310882,0.37880392,-0.23757189
15:52:00,-0.10590826,0.33923731,-0.32523668
15:53:00,-0.11395668,0.30524908,-0.37123023
15:54:00,-0.12717722,0.39653633,-0.37273501
15:55:00,-0.10656771,0.45128874,-0.36521824
15:56:00,-0.09812657,0.50256536,-0.39255548
15:57:00,-0.11831895,0.46758069,-0.39160928
15:58:00,-0.11325327,0.46174062,-0.39469990
15:59:00,-0.11711652,0.44914455,-0.39788051
16:00:00,-0.12929459,0.52921742,-0.45015334
16:01:00,-0.12443453,0.58989024,-0.43637614
16:02:00,-0.11192408,0.50017414,-0.45490591
16:03:00,-0.11345446,0.45974851,-0.40976052
16:04:00,-0.11502673,0.44300301,-0.40507313
16:05:00,-0.13226959,0.44453988,-0.40098824
16:06:00,-0.13984769,0.44209960,-0.36842926
16:07:00,-0.13115573,0.45704403,-0.37557889
16:08:00,-0.12343613,0.40336970,-0.40594437
16:09:00,-0.13036434,0.35576795,-0.37664727
16:10:00,-0.09398337,0.32225734,-0.44009242
16:11:00,-0.10550458,0.29922956,-0.43883406
16:12:00,-0.10655711,0.22150723,-0.43771321
16:13:00,-0.10924154,0.24143132,-0.43253544
16:14:00,-0.08073918,0.26696448,-0.40511515
16:15:00,-0.13073955,0.28406166,-0.46591224
16:16:00,-0.09136030,0.27334442,-0.45090635
16:17:00,-0.09078982,0.26346045,-0.49637149
16:18:00,-0.08873256,0.25713056,-0.50377625
16:19:00,-0.07531591,0.11099740,-0.49292127
16:20:00,-0.08366189,0.08014949,-0.50657018
16:21:00,-0.09107860,0.05423831,-0.48790308
16:22:00,-0.07683400,0.04380073,-0.48862525
16:23:00,-0.09544024,0.05329810,-0.47291801
16:24:00,-0.09645788,0.02729520,-0.45581918
16:25:00,-0.09191633,0.00118832,-0.45835876
16:26:00,-0.09138846,-0.01010255,-0.45424106
16:27:00,-0.09536787,0.02883292,-0.45573005
16:28:00,-0.09572386,-0.01383661,-0.45799664
16:29:00,-0.09870486,-0.04469250,-0.46354792
16:30:00,-0.09883921,-0.04211149,-0.48697456
16:31:00,-0.00000001,-0.04928252,-0.48348769
16:32:00,-0.00000001,-0.04676705,-0.45940630
16:33:00,-0.00000001,0.01645162,-0.45482052
16:34:00,-0.00000001,0.02161409,-0.46821917
16:35:00,-0.00000001,-0.00329729,-0.46250122
16:36:00,-0.00000001,0.03801364,-0.44264014
16:37:00,-0.00000001,0.06031779,-0.43728136
16:38:00,-0.00000001,0.11150372,-0.42091407
16:39:00,-0.00000001,0.14881127,-0.47340502
16:40:00,-0.00000001,0.13567309,-0.47872263
16:41:00,-0.00000001,0.16340853,-0.47667853
